Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
14:20:50;-2.0;1659327652;99.466;99.244;98.443;98.884;
14:20:52;0.0;1659327653;99.428;99.251;98.411;98.857;
14:20:53;1.0;1659327654;99.434;99.272;98.402;98.91;
14:20:54;2.0;1659327655;99.437;99.248;98.295;98.928;
14:20:55;3.0;1659327656;99.482;99.238;98.244;98.935;
14:20:56;4.0;1659327657;99.477;99.201;98.243;98.887;
14:20:57;5.0;1659327659;99.468;99.189;98.236;98.815;
14:20:58;6.0;1659327660;99.429;99.196;98.239;98.8;
14:21:00;8.0;1659327661;99.405;99.23;98.156;98.765;
14:21:01;9.0;1659327662;99.426;99.252;98.219;98.768;
14:21:02;10.0;1659327663;99.42;99.23;98.246;98.72;
14:21:03;11.0;1659327664;99.432;99.193;98.237;98.69;
14:21:04;12.0;1659327665;99.414;99.212;98.195;98.676;
14:21:05;13.0;1659327667;99.408;99.212;98.208;98.624;
14:21:06;14.0;1659327668;99.399;99.2;98.172;98.59;
14:21:08;16.0;1659327669;99.391;99.125;98.133;98.543;
14:21:09;17.0;1659327670;99.386;99.104;98.071;98.519;
14:21:10;18.0;1659327671;99.392;99.098;98.023;98.514;
14:21:11;19.0;1659327672;99.434;99.067;97.995;98.46;
14:21:12;20.0;1659327673;99.442;99.052;97.904;98.419;
14:21:13;21.0;1659327674;99.46;99.049;97.847;98.399;
14:21:14;22.0;1659327676;99.395;99.056;97.803;98.415;
14:21:15;23.0;1659327677;99.375;99.081;97.808;98.428;
14:21:17;25.0;1659327678;99.345;99.056;97.817;98.345;
14:21:18;26.0;1659327679;99.316;99.06;97.812;98.291;
14:21:19;27.0;1659327680;99.308;99.026;97.821;98.226;
14:21:20;28.0;1659327681;99.27;99.023;97.812;98.254;
14:21:21;29.0;1659327682;99.267;99.027;97.73;98.231;
14:21:22;30.0;1659327684;99.276;98.993;97.732;98.241;
14:21:24;32.0;1659327685;99.282;98.96;97.647;98.203;
14:21:25;33.0;1659327686;99.279;98.895;97.626;98.14;
14:21:26;34.0;1659327687;99.271;98.898;97.506;98.099;
14:21:27;35.0;1659327688;99.271;98.883;97.56;98.046;
14:21:28;36.0;1659327689;99.242;98.893;97.555;98.053;
14:21:29;37.0;1659327691;99.227;98.859;97.521;97.97;
14:21:30;38.0;1659327692;99.213;98.872;97.456;97.92;
14:21:31;39.0;1659327693;99.202;98.863;97.364;97.879;
14:21:33;41.0;1659327694;99.179;98.823;97.361;97.839;
14:21:34;42.0;1659327695;99.152;98.814;97.274;97.79;
14:21:35;43.0;1659327696;99.185;98.768;97.267;97.701;
14:21:36;44.0;1659327697;99.179;98.781;97.22;97.7;
14:21:37;45.0;1659327699;99.115;98.766;97.205;97.659;
14:21:38;46.0;1659327700;99.092;98.723;97.19;97.681;
14:21:39;47.0;1659327701;99.048;98.69;97.089;97.581;
14:21:41;49.0;1659327702;99.069;98.622;97.043;97.528;
14:21:42;50.0;1659327703;99.04;98.66;97.019;97.448;
14:21:43;51.0;1659327704;99.044;98.626;97.048;97.455;
14:21:44;52.0;1659327705;99.038;98.629;97.019;97.494;
14:21:45;53.0;1659327706;99.015;98.58;96.973;97.48;
14:21:46;54.0;1659327708;99.019;98.609;96.963;97.427;
14:21:48;56.0;1659327709;99.019;98.575;96.958;97.387;
14:21:49;57.0;1659327710;99.014;98.544;96.913;97.376;
14:21:50;58.0;1659327711;98.982;98.495;96.907;97.389;
14:21:51;59.0;1659327712;98.923;98.44;96.906;97.327;
14:21:52;60.0;1659327713;98.912;98.456;96.866;97.29;
14:21:53;61.0;1659327715;98.889;98.429;96.78;97.255;
14:21:54;62.0;1659327716;98.91;98.464;96.665;97.226;
14:21:56;64.0;1659327717;98.867;98.452;96.63;97.2;
14:21:57;65.0;1659327718;98.852;98.421;96.566;97.174;
14:21:58;66.0;1659327719;98.821;98.412;96.541;97.155;
14:21:59;67.0;1659327720;98.813;98.379;96.523;97.12;
14:22:00;68.0;1659327721;98.749;98.364;96.47;97.115;
14:22:01;69.0;1659327722;98.758;98.294;96.502;97.127;
14:22:02;70.0;1659327724;98.737;98.273;96.433;97.131;
14:22:04;72.0;1659327725;98.802;98.264;96.441;97.119;
14:22:05;73.0;1659327726;98.744;98.283;96.417;97.046;
14:22:06;74.0;1659327727;98.739;98.25;96.383;96.982;
14:22:07;75.0;1659327728;98.695;98.223;96.325;96.932;
14:22:08;76.0;1659327729;98.696;98.192;96.263;96.956;
14:22:09;77.0;1659327731;98.675;98.162;96.24;96.981;
14:22:10;78.0;1659327732;98.644;98.165;96.204;96.967;
14:22:12;80.0;1659327733;98.656;98.166;96.15;96.971;
14:22:13;81.0;1659327734;98.657;98.175;96.151;96.989;
14:22:14;82.0;1659327735;98.681;98.145;96.14;96.975;
14:22:15;83.0;1659327736;98.641;98.097;96.132;96.996;
14:22:16;84.0;1659327737;98.578;98.061;96.043;96.937;
14:22:17;85.0;1659327739;98.508;98.031;96.025;96.929;
14:22:18;86.0;1659327740;98.459;98.01;95.967;96.859;
14:22:20;88.0;1659327741;98.465;97.998;95.93;96.871;
14:22:21;89.0;1659327742;98.44;97.983;95.958;96.837;
14:22:22;90.0;1659327743;98.426;97.983;95.904;96.778;
14:22:23;91.0;1659327744;98.394;97.981;95.889;96.708;
14:22:24;92.0;1659327745;98.336;97.957;95.746;96.68;
14:22:25;93.0;1659327746;98.322;97.926;95.794;96.691;
14:22:26;94.0;1659327748;98.256;97.893;95.82;96.657;
14:22:28;96.0;1659327749;98.258;97.878;95.85;96.62;
14:22:29;97.0;1659327750;98.215;97.878;95.774;96.571;
14:22:30;98.0;1659327751;98.266;97.866;95.707;96.555;
14:22:31;99.0;1659327752;98.222;97.845;95.648;96.527;
14:22:32;100.0;1659327754;98.232;97.825;95.658;96.531;
14:22:33;101.0;1659327755;98.128;97.813;95.627;96.514;
14:22:34;102.0;1659327756;98.12;97.81;95.582;96.479;
14:22:36;104.0;1659327757;98.042;97.817;95.458;96.433;
14:22:37;105.0;1659327758;98.066;97.774;95.468;96.381;
14:22:38;106.0;1659327759;98.034;97.754;95.435;96.369;
14:22:39;107.0;1659327760;97.997;97.684;95.486;96.343;
14:22:40;108.0;1659327761;97.962;97.669;95.392;96.379;
14:22:41;109.0;1659327762;97.934;97.636;95.383;96.424;
14:22:42;110.0;1659327764;97.952;97.618;95.308;96.406;
14:22:44;112.0;1659327765;97.938;97.591;95.222;96.404;
14:22:45;113.0;1659327766;97.971;97.574;95.143;96.358;
14:22:46;114.0;1659327767;97.925;97.55;95.076;96.379;
14:22:47;115.0;1659327768;97.859;97.529;95.112;96.332;
14:22:48;116.0;1659327770;97.81;97.503;95.097;96.333;
14:22:49;117.0;1659327771;97.782;97.488;95.079;96.296;
14:22:50;118.0;1659327772;97.808;97.483;95.021;96.279;
14:22:52;120.0;1659327773;97.759;97.443;94.988;96.274;
14:22:53;121.0;1659327774;97.759;97.414;94.963;96.242;
14:22:54;122.0;1659327775;97.74;97.371;94.943;96.24;
14:22:55;123.0;1659327776;97.734;97.338;94.946;96.202;
14:22:56;124.0;1659327777;97.732;97.333;94.951;96.215;
14:22:57;125.0;1659327779;97.71;97.309;94.884;96.203;
14:22:59;127.0;1659327780;97.675;97.319;94.837;96.192;
14:23:00;128.0;1659327781;97.635;97.301;94.74;96.193;
14:23:01;129.0;1659327782;97.618;97.286;94.81;96.159;
14:23:02;130.0;1659327783;97.587;97.247;94.796;96.174;
14:23:03;131.0;1659327784;97.565;97.218;94.773;96.149;
14:23:04;132.0;1659327785;97.542;97.191;94.65;96.15;
14:23:05;133.0;1659327787;97.56;97.159;94.644;96.1;
14:23:07;135.0;1659327788;97.557;97.129;94.584;96.086;
14:23:08;136.0;1659327789;97.521;97.075;94.583;96.075;
14:23:09;137.0;1659327790;97.51;97.078;94.533;96.076;
14:23:10;138.0;1659327791;97.487;97.024;94.589;96.057;
14:23:11;139.0;1659327792;97.464;96.998;94.58;96.005;
14:23:12;140.0;1659327794;97.422;96.953;94.466;95.935;
14:23:13;141.0;1659327795;97.386;96.912;94.367;95.933;
14:23:15;143.0;1659327796;97.355;96.882;94.271;95.937;
14:23:16;144.0;1659327797;97.346;96.796;94.274;95.955;
14:23:17;145.0;1659327798;97.321;96.781;94.283;95.93;
14:23:18;146.0;1659327799;97.304;96.752;94.306;95.916;
14:23:19;147.0;1659327800;97.261;96.759;94.284;95.885;
14:23:20;148.0;1659327801;97.256;96.723;94.278;95.833;
14:23:21;149.0;1659327803;97.227;96.697;94.205;95.813;
14:23:23;151.0;1659327804;97.199;96.661;94.183;95.782;
14:23:24;152.0;1659327805;97.163;96.596;94.093;95.771;
14:23:25;153.0;1659327806;97.129;96.54;94.086;95.76;
14:23:26;154.0;1659327807;97.126;96.501;94.016;95.761;
14:23:27;155.0;1659327808;97.123;96.474;93.956;95.75;
14:23:28;156.0;1659327809;97.124;96.448;93.959;95.714;
14:23:29;157.0;1659327811;97.118;96.425;93.949;95.648;
14:23:30;158.0;1659327812;97.073;96.434;93.972;95.585;
14:23:32;160.0;1659327813;97.096;96.407;93.97;95.548;
14:23:33;161.0;1659327814;97.074;96.387;94.009;95.566;
