Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
13:31:15;-2.0;1659324677;99.414;99.334;98.225;98.661;
13:31:16;-1.0;1659324678;99.408;99.288;98.24;98.674;
13:31:18;1.0;1659324679;99.387;99.304;98.255;98.671;
13:31:19;2.0;1659324680;99.339;99.301;98.212;98.657;
13:31:20;3.0;1659324681;99.301;99.304;98.223;98.624;
13:31:21;4.0;1659324682;99.331;99.276;98.244;98.587;
13:31:22;5.0;1659324683;99.355;99.239;98.307;98.579;
13:31:23;6.0;1659324685;99.37;99.208;98.3;98.61;
13:31:24;7.0;1659324686;99.362;99.193;98.288;98.597;
13:31:25;8.0;1659324687;99.336;99.193;98.214;98.54;
13:31:27;10.0;1659324688;99.343;99.215;98.169;98.474;
13:31:28;11.0;1659324689;99.313;99.21;98.139;98.43;
13:31:29;12.0;1659324690;99.302;99.188;98.1;98.455;
13:31:30;13.0;1659324691;99.285;99.139;98.081;98.413;
13:31:31;14.0;1659324692;99.283;99.123;98.033;98.438;
13:31:32;15.0;1659324694;99.274;99.146;98.029;98.4;
13:31:33;16.0;1659324695;99.283;99.146;97.986;98.407;
13:31:35;18.0;1659324696;99.245;99.143;97.99;98.409;
13:31:36;19.0;1659324697;99.248;99.112;97.929;98.394;
13:31:37;20.0;1659324698;99.216;99.109;97.895;98.416;
13:31:38;21.0;1659324699;99.228;99.1;97.759;98.332;
13:31:39;22.0;1659324700;99.184;99.085;97.755;98.308;
13:31:40;23.0;1659324702;99.185;99.101;97.723;98.221;
13:31:41;24.0;1659324703;99.17;99.085;97.731;98.246;
13:31:43;26.0;1659324704;99.171;99.073;97.62;98.253;
13:31:44;27.0;1659324705;99.159;99.03;97.625;98.266;
13:31:45;28.0;1659324706;99.077;99.015;97.684;98.258;
13:31:46;29.0;1659324707;99.063;99.019;97.751;98.217;
13:31:47;30.0;1659324708;99.031;99.007;97.625;98.192;
13:31:48;31.0;1659324710;99.081;99.001;97.517;98.123;
13:31:49;32.0;1659324711;99.072;98.946;97.442;98.058;
13:31:51;34.0;1659324712;99.079;98.921;97.445;98.052;
13:31:52;35.0;1659324713;99.003;98.872;97.453;98.039;
13:31:53;36.0;1659324714;98.968;98.845;97.42;98.013;
13:31:54;37.0;1659324715;98.921;98.8;97.413;97.936;
13:31:55;38.0;1659324716;98.978;98.788;97.313;97.919;
13:31:56;39.0;1659324718;98.97;98.792;97.293;97.918;
13:31:57;40.0;1659324719;98.979;98.771;97.226;97.91;
13:31:59;42.0;1659324720;98.923;98.734;97.206;97.863;
13:32:00;43.0;1659324721;98.912;98.695;97.13;97.837;
13:32:01;44.0;1659324722;98.871;98.665;97.094;97.805;
13:32:02;45.0;1659324723;98.895;98.628;97.053;97.767;
13:32:03;46.0;1659324725;98.895;98.576;96.966;97.73;
13:32:04;47.0;1659324726;98.884;98.546;96.925;97.722;
13:32:06;49.0;1659324727;98.866;98.537;96.85;97.687;
13:32:07;50.0;1659324728;98.841;98.534;96.847;97.643;
13:32:08;51.0;1659324729;98.807;98.528;96.826;97.599;
13:32:09;52.0;1659324730;98.758;98.498;96.765;97.589;
13:32:10;53.0;1659324731;98.712;98.499;96.746;97.591;
13:32:11;54.0;1659324732;98.698;98.484;96.685;97.588;
13:32:12;55.0;1659324734;98.678;98.475;96.665;97.589;
13:32:13;56.0;1659324735;98.678;98.396;96.604;97.56;
13:32:15;58.0;1659324736;98.679;98.359;96.57;97.543;
13:32:16;59.0;1659324737;98.667;98.338;96.545;97.525;
13:32:17;60.0;1659324738;98.638;98.348;96.462;97.556;
13:32:18;61.0;1659324739;98.616;98.324;96.489;97.5;
13:32:19;62.0;1659324741;98.57;98.285;96.429;97.45;
13:32:20;63.0;1659324742;98.55;98.233;96.446;97.383;
13:32:21;64.0;1659324743;98.486;98.191;96.328;97.346;
13:32:23;66.0;1659324744;98.467;98.164;96.348;97.353;
13:32:24;67.0;1659324745;98.429;98.155;96.32;97.309;
13:32:25;68.0;1659324746;98.395;98.143;96.349;97.304;
13:32:26;69.0;1659324747;98.36;98.15;96.308;97.278;
13:32:27;70.0;1659324748;98.367;98.119;96.306;97.293;
13:32:28;71.0;1659324750;98.35;98.095;96.248;97.3;
13:32:30;73.0;1659324751;98.29;98.074;96.234;97.238;
13:32:31;74.0;1659324752;98.215;98.062;96.209;97.18;
13:32:32;75.0;1659324753;98.215;98.032;96.167;97.145;
13:32:33;76.0;1659324754;98.201;97.971;96.148;97.123;
13:32:34;77.0;1659324755;98.172;97.965;96.117;97.13;
13:32:35;78.0;1659324757;98.103;97.963;96.076;97.086;
13:32:36;79.0;1659324758;98.119;97.969;96.001;97.055;
13:32:37;80.0;1659324759;98.079;97.939;95.998;96.991;
13:32:39;82.0;1659324760;98.103;97.928;96.013;96.951;
13:32:40;83.0;1659324761;98.101;97.889;96.008;96.946;
13:32:41;84.0;1659324762;98.119;97.884;95.971;96.915;
13:32:42;85.0;1659324763;98.078;97.835;95.906;96.887;
13:32:43;86.0;1659324764;98.044;97.814;95.927;96.799;
13:32:44;87.0;1659324766;98.03;97.765;95.9;96.752;
