Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
13:52:31;-1.0;1659325952;99.446;99.423;98.344;98.83;
13:52:32;0.0;1659325953;99.458;99.442;98.358;98.818;
13:52:33;1.0;1659325954;99.452;99.439;98.347;98.843;
13:52:34;2.0;1659325956;99.453;99.405;98.355;98.831;
13:52:35;3.0;1659325957;99.465;99.396;98.313;98.835;
13:52:36;4.0;1659325958;99.478;99.365;98.302;98.796;
13:52:38;6.0;1659325959;99.478;99.353;98.26;98.837;
13:52:39;7.0;1659325960;99.399;99.313;98.268;98.816;
13:52:40;8.0;1659325961;99.354;99.313;98.261;98.853;
13:52:41;9.0;1659325962;99.343;99.289;98.323;98.851;
13:52:42;10.0;1659325963;99.358;99.286;98.279;98.815;
13:52:43;11.0;1659325964;99.367;99.273;98.235;98.786;
13:52:44;12.0;1659325966;99.305;99.261;98.169;98.756;
13:52:46;14.0;1659325967;99.32;99.237;98.149;98.748;
13:52:47;15.0;1659325968;99.273;99.194;98.124;98.688;
13:52:48;16.0;1659325969;99.303;99.191;98.057;98.637;
13:52:49;17.0;1659325970;99.256;99.195;98.03;98.611;
13:52:50;18.0;1659325971;99.253;99.201;98.024;98.572;
13:52:51;19.0;1659325972;99.277;99.168;98.073;98.558;
13:52:52;20.0;1659325974;99.322;99.14;98.068;98.552;
13:52:53;21.0;1659325975;99.322;99.116;97.987;98.55;
13:52:55;23.0;1659325976;99.266;99.079;97.892;98.515;
13:52:56;24.0;1659325977;99.228;99.048;97.834;98.477;
13:52:57;25.0;1659325978;99.229;99.036;97.85;98.451;
13:52:58;26.0;1659325979;99.2;99.049;97.844;98.407;
13:52:59;27.0;1659325980;99.186;99.062;97.772;98.372;
13:53:00;28.0;1659325982;99.154;99.034;97.737;98.301;
13:53:01;29.0;1659325983;99.19;99.034;97.689;98.286;
13:53:03;31.0;1659325984;99.178;98.986;97.696;98.238;
13:53:04;32.0;1659325985;99.167;98.992;97.649;98.233;
13:53:05;33.0;1659325986;99.079;98.937;97.537;98.241;
13:53:06;34.0;1659325987;99.059;98.953;97.495;98.193;
13:53:07;35.0;1659325988;99.065;98.932;97.416;98.203;
13:53:08;36.0;1659325990;99.084;98.874;97.467;98.149;
13:53:09;37.0;1659325991;99.04;98.838;97.436;98.139;
13:53:11;39.0;1659325992;98.99;98.77;97.499;98.073;
13:53:12;40.0;1659325993;98.947;98.758;97.462;98.007;
13:53:13;41.0;1659325994;98.912;98.681;97.379;98.023;
13:53:14;42.0;1659325995;98.91;98.654;97.293;98.03;
13:53:15;43.0;1659325996;98.946;98.652;97.223;98.073;
13:53:16;44.0;1659325997;98.938;98.68;97.162;98.041;
13:53:17;45.0;1659325999;98.867;98.662;97.091;98.042;
13:53:19;47.0;1659326000;98.835;98.61;97.095;97.995;
13:53:20;48.0;1659326001;98.857;98.592;97.118;97.941;
13:53:21;49.0;1659326002;98.887;98.608;97.026;97.9;
13:53:22;50.0;1659326003;98.828;98.62;97.008;97.882;
13:53:23;51.0;1659326004;98.799;98.584;97.003;97.909;
13:53:24;52.0;1659326006;98.752;98.544;97.021;97.823;
13:53:25;53.0;1659326007;98.823;98.557;96.898;97.761;
13:53:27;55.0;1659326008;98.785;98.52;96.836;97.672;
13:53:28;56.0;1659326009;98.795;98.472;96.848;97.682;
13:53:29;57.0;1659326010;98.707;98.423;96.891;97.716;
13:53:30;58.0;1659326011;98.684;98.405;96.83;97.716;
13:53:31;59.0;1659326012;98.62;98.381;96.8;97.717;
13:53:32;60.0;1659326014;98.612;98.345;96.72;97.681;
13:53:33;61.0;1659326015;98.621;98.327;96.731;97.644;
13:53:35;63.0;1659326016;98.598;98.315;96.679;97.636;
13:53:36;64.0;1659326017;98.578;98.293;96.613;97.582;
13:53:37;65.0;1659326018;98.538;98.26;96.516;97.571;
13:53:38;66.0;1659326019;98.518;98.261;96.475;97.53;
13:53:39;67.0;1659326020;98.481;98.24;96.515;97.533;
13:53:40;68.0;1659326021;98.388;98.237;96.497;97.533;
13:53:41;69.0;1659326023;98.389;98.201;96.484;97.518;
13:53:43;71.0;1659326024;98.285;98.177;96.427;97.51;
13:53:44;72.0;1659326025;98.288;98.137;96.373;97.517;
13:53:45;73.0;1659326026;98.269;98.119;96.288;97.455;
13:53:46;74.0;1659326027;98.316;98.138;96.181;97.405;
13:53:47;75.0;1659326028;98.293;98.145;96.176;97.302;
13:53:48;76.0;1659326029;98.243;98.123;96.147;97.31;
13:53:49;77.0;1659326031;98.218;98.053;96.182;97.248;
13:53:50;78.0;1659326032;98.209;98.038;96.178;97.231;
13:53:52;80.0;1659326033;98.178;98.029;96.197;97.212;
13:53:53;81.0;1659326034;98.147;98.011;96.18;97.219;
13:53:54;82.0;1659326035;98.112;97.942;96.139;97.232;
13:53:55;83.0;1659326036;98.043;97.906;96.086;97.202;
13:53:56;84.0;1659326037;97.998;97.906;96.028;97.182;
13:53:57;85.0;1659326039;97.984;97.891;96.007;97.153;
13:53:58;86.0;1659326040;97.987;97.879;96.004;97.127;
13:54:00;88.0;1659326041;97.996;97.852;95.984;97.119;
13:54:01;89.0;1659326042;97.944;97.85;95.889;97.079;
13:54:02;90.0;1659326043;97.925;97.841;95.792;97.03;
13:54:03;91.0;1659326044;97.858;97.811;95.725;96.989;
13:54:04;92.0;1659326045;97.859;97.775;95.76;96.931;
13:54:05;93.0;1659326047;97.845;97.724;95.767;96.917;
13:54:06;94.0;1659326048;97.822;97.688;95.793;96.87;
13:54:07;95.0;1659326049;97.756;97.667;95.754;96.856;
13:54:09;97.0;1659326050;97.693;97.646;95.701;96.821;
13:54:10;98.0;1659326051;97.68;97.588;95.683;96.801;
13:54:11;99.0;1659326052;97.66;97.558;95.68;96.771;
13:54:12;100.0;1659326053;97.652;97.51;95.669;96.71;
13:54:13;101.0;1659326054;97.63;97.538;95.588;96.686;
13:54:14;102.0;1659326055;97.619;97.529;95.52;96.643;
13:54:15;103.0;1659326057;97.625;97.505;95.484;96.609;
13:54:17;105.0;1659326058;97.576;97.482;95.459;96.533;
13:54:18;106.0;1659326059;97.548;97.473;95.37;96.464;
13:54:19;107.0;1659326060;97.462;97.482;95.358;96.452;
13:54:20;108.0;1659326061;97.457;97.471;95.28;96.409;
13:54:21;109.0;1659326062;97.469;97.423;95.366;96.439;
13:54:22;110.0;1659326063;97.47;97.395;95.343;96.416;
13:54:23;111.0;1659326065;97.447;97.335;95.382;96.365;
13:54:25;113.0;1659326066;97.344;97.326;95.267;96.298;
13:54:26;114.0;1659326067;97.321;97.308;95.218;96.246;
13:54:27;115.0;1659326068;97.259;97.336;95.183;96.303;
13:54:28;116.0;1659326069;97.251;97.304;95.197;96.272;
13:54:29;117.0;1659326070;97.234;97.283;95.121;96.182;
13:54:30;118.0;1659326071;97.24;97.201;95.148;96.095;
13:54:31;119.0;1659326073;97.263;97.189;95.072;96.061;
13:54:32;120.0;1659326074;97.209;97.211;95.098;96.077;
13:54:34;122.0;1659326075;97.21;97.196;94.975;96.069;
13:54:35;123.0;1659326076;97.128;97.166;95.003;96.067;
13:54:36;124.0;1659326077;97.148;97.128;94.969;96.111;
13:54:37;125.0;1659326078;97.074;97.128;94.95;96.089;
13:54:38;126.0;1659326080;97.08;97.122;94.876;96.045;
13:54:39;127.0;1659326081;97.069;97.062;94.828;95.949;
13:54:40;128.0;1659326082;97.082;97.044;94.847;95.924;
13:54:42;130.0;1659326083;97.077;97.005;94.779;95.905;
13:54:43;131.0;1659326084;97.011;96.978;94.758;95.873;
13:54:44;132.0;1659326085;96.966;96.946;94.695;95.83;
13:54:45;133.0;1659326086;96.96;96.931;94.761;95.837;
13:54:46;134.0;1659326087;96.964;96.928;94.739;95.858;
13:54:47;135.0;1659326088;96.971;96.941;94.697;95.882;
13:54:48;136.0;1659326090;96.925;96.96;94.605;95.837;
13:54:50;138.0;1659326091;96.869;96.936;94.513;95.794;
13:54:51;139.0;1659326092;96.794;96.894;94.512;95.728;
13:54:52;140.0;1659326093;96.738;96.828;94.484;95.726;
13:54:53;141.0;1659326094;96.684;96.823;94.486;95.674;
13:54:54;142.0;1659326096;96.697;96.799;94.436;95.669;
