Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
14:56:16;-2.0;1659329778;99.47;99.584;98.316;98.889;
14:56:17;-1.0;1659329779;99.476;99.605;98.33;98.926;
14:56:18;0.0;1659329780;99.506;99.593;98.337;98.948;
14:56:20;2.0;1659329781;99.489;99.608;98.353;98.973;
14:56:21;3.0;1659329782;99.474;99.593;98.367;98.955;
14:56:22;4.0;1659329783;99.468;99.584;98.366;98.93;
14:56:23;5.0;1659329784;99.502;99.551;98.343;98.902;
14:56:24;6.0;1659329785;99.491;99.517;98.316;98.908;
14:56:25;7.0;1659329787;99.488;99.486;98.276;98.897;
14:56:26;8.0;1659329788;99.482;99.458;98.266;98.844;
14:56:28;10.0;1659329789;99.465;99.446;98.22;98.802;
14:56:29;11.0;1659329790;99.465;99.465;98.165;98.769;
14:56:30;12.0;1659329791;99.455;99.447;98.168;98.769;
14:56:31;13.0;1659329792;99.452;99.435;98.118;98.758;
14:56:32;14.0;1659329793;99.414;99.41;98.122;98.762;
14:56:33;15.0;1659329795;99.37;99.408;98.148;98.787;
14:56:34;16.0;1659329796;99.365;99.38;98.178;98.768;
14:56:36;18.0;1659329797;99.339;99.358;98.246;98.721;
14:56:37;19.0;1659329798;99.36;99.359;98.151;98.637;
14:56:38;20.0;1659329799;99.334;99.365;98.091;98.604;
14:56:39;21.0;1659329800;99.317;99.369;98.001;98.617;
14:56:40;22.0;1659329801;99.321;99.35;97.98;98.626;
14:56:41;23.0;1659329803;99.33;99.317;97.981;98.539;
14:56:42;24.0;1659329804;99.366;99.271;98.003;98.519;
14:56:44;26.0;1659329805;99.331;99.231;98.014;98.492;
14:56:45;27.0;1659329806;99.34;99.231;98.01;98.566;
14:56:46;28.0;1659329807;99.304;99.234;97.968;98.512;
14:56:47;29.0;1659329808;99.304;99.244;97.954;98.485;
14:56:48;30.0;1659329810;99.267;99.216;97.853;98.393;
14:56:49;31.0;1659329811;99.267;99.207;97.815;98.394;
14:56:50;32.0;1659329812;99.274;99.174;97.77;98.38;
14:56:52;34.0;1659329813;99.298;99.149;97.8;98.478;
14:56:53;35.0;1659329814;99.266;99.109;97.73;98.437;
14:56:54;36.0;1659329815;99.207;99.084;97.668;98.426;
14:56:55;37.0;1659329816;99.184;99.076;97.597;98.337;
14:56:56;38.0;1659329817;99.17;99.06;97.576;98.32;
14:56:57;39.0;1659329819;99.159;99.042;97.53;98.244;
14:56:58;40.0;1659329820;99.109;99.018;97.471;98.158;
14:57:00;42.0;1659329821;99.096;99.034;97.395;98.068;
14:57:01;43.0;1659329822;99.076;99.026;97.392;98.051;
14:57:02;44.0;1659329823;99.056;99.011;97.37;98.037;
14:57:03;45.0;1659329824;99.056;98.98;97.36;98.056;
14:57:04;46.0;1659329825;99.054;98.943;97.298;98.021;
14:57:05;47.0;1659329826;99.034;98.93;97.289;98.004;
14:57:06;48.0;1659329828;98.999;98.891;97.283;97.928;
14:57:08;50.0;1659329829;98.937;98.885;97.231;97.943;
14:57:09;51.0;1659329830;98.926;98.845;97.19;97.89;
14:57:10;52.0;1659329831;98.909;98.833;97.19;97.909;
14:57:11;53.0;1659329832;98.951;98.809;97.223;97.907;
14:57:12;54.0;1659329833;98.954;98.821;97.186;97.974;
14:57:13;55.0;1659329835;98.919;98.769;97.119;97.96;
14:57:14;56.0;1659329836;98.917;98.77;97.075;97.913;
14:57:16;58.0;1659329837;98.905;98.724;97.076;97.845;
14:57:17;59.0;1659329838;98.921;98.722;97.032;97.821;
14:57:18;60.0;1659329839;98.912;98.695;96.987;97.816;
14:57:19;61.0;1659329840;98.906;98.664;96.906;97.786;
14:57:20;62.0;1659329841;98.916;98.649;96.894;97.778;
14:57:21;63.0;1659329843;98.916;98.6;96.869;97.745;
14:57:22;64.0;1659329844;98.893;98.631;96.894;97.71;
14:57:24;66.0;1659329845;98.867;98.604;96.902;97.653;
14:57:25;67.0;1659329846;98.806;98.608;96.836;97.636;
14:57:26;68.0;1659329847;98.792;98.571;96.863;97.636;
14:57:27;69.0;1659329848;98.74;98.553;96.753;97.658;
14:57:28;70.0;1659329849;98.714;98.544;96.755;97.605;
14:57:29;71.0;1659329850;98.715;98.504;96.668;97.594;
14:57:30;72.0;1659329852;98.701;98.517;96.673;97.584;
14:57:31;73.0;1659329853;98.682;98.474;96.669;97.609;
14:57:33;75.0;1659329854;98.623;98.481;96.582;97.513;
14:57:34;76.0;1659329855;98.586;98.478;96.592;97.487;
14:57:35;77.0;1659329856;98.563;98.463;96.574;97.413;
14:57:36;78.0;1659329857;98.543;98.423;96.635;97.474;
14:57:37;79.0;1659329858;98.553;98.378;96.546;97.397;
14:57:38;80.0;1659329860;98.524;98.391;96.526;97.464;
14:57:39;81.0;1659329861;98.507;98.354;96.467;97.414;
14:57:41;83.0;1659329862;98.49;98.33;96.426;97.438;
14:57:42;84.0;1659329863;98.493;98.302;96.372;97.302;
14:57:43;85.0;1659329864;98.488;98.315;96.312;97.293;
14:57:44;86.0;1659329865;98.465;98.275;96.301;97.226;
14:57:45;87.0;1659329866;98.448;98.273;96.284;97.26;
14:57:46;88.0;1659329868;98.419;98.249;96.252;97.249;
14:57:47;89.0;1659329869;98.4;98.268;96.241;97.241;
14:57:49;91.0;1659329870;98.38;98.238;96.171;97.174;
14:57:50;92.0;1659329871;98.354;98.213;96.093;97.094;
14:57:51;93.0;1659329872;98.364;98.18;96.067;97.092;
14:57:52;94.0;1659329873;98.353;98.155;96.052;97.063;
14:57:53;95.0;1659329874;98.33;98.162;96.039;97.038;
14:57:54;96.0;1659329875;98.272;98.138;96.0;96.994;
14:57:55;97.0;1659329877;98.234;98.09;95.979;96.996;
14:57:56;98.0;1659329878;98.241;98.032;95.971;96.993;
14:57:58;100.0;1659329879;98.264;98.002;95.891;96.991;
14:57:59;101.0;1659329880;98.256;97.994;95.951;96.935;
14:58:00;102.0;1659329881;98.254;97.979;95.956;96.934;
14:58:01;103.0;1659329882;98.196;97.946;95.988;96.899;
14:58:02;104.0;1659329883;98.181;97.931;95.87;96.894;
14:58:03;105.0;1659329885;98.12;97.92;95.807;96.833;
14:58:05;107.0;1659329886;98.103;97.905;95.744;96.808;
14:58:06;108.0;1659329887;98.046;97.872;95.772;96.832;
14:58:07;109.0;1659329888;98.006;97.827;95.766;96.824;
14:58:08;110.0;1659329889;97.977;97.793;95.775;96.716;
14:58:09;111.0;1659329890;97.951;97.763;95.68;96.64;
14:58:10;112.0;1659329892;97.952;97.77;95.598;96.608;
14:58:11;113.0;1659329893;97.908;97.743;95.501;96.638;
14:58:13;115.0;1659329894;97.894;97.71;95.448;96.571;
14:58:14;116.0;1659329895;97.868;97.667;95.505;96.556;
14:58:15;117.0;1659329896;97.869;97.659;95.57;96.525;
14:58:16;118.0;1659329897;97.855;97.659;95.581;96.526;
14:58:17;119.0;1659329898;97.823;97.641;95.549;96.468;
14:58:18;120.0;1659329899;97.836;97.619;95.533;96.448;
14:58:19;121.0;1659329901;97.833;97.607;95.58;96.428;
14:58:21;123.0;1659329902;97.857;97.611;95.546;96.423;
14:58:22;124.0;1659329903;97.802;97.611;95.429;96.412;
14:58:23;125.0;1659329904;97.837;97.572;95.285;96.377;
14:58:24;126.0;1659329905;97.783;97.538;95.194;96.381;
14:58:25;127.0;1659329907;97.769;97.542;95.228;96.387;
14:58:26;128.0;1659329908;97.642;97.551;95.24;96.4;
14:58:27;129.0;1659329909;97.599;97.542;95.271;96.355;
14:58:29;131.0;1659329910;97.548;97.488;95.247;96.317;
14:58:30;132.0;1659329911;97.591;97.482;95.233;96.279;
14:58:31;133.0;1659329912;97.577;97.473;95.193;96.241;
14:58:32;134.0;1659329913;97.597;97.495;95.11;96.259;
14:58:33;135.0;1659329914;97.531;97.501;95.076;96.256;
14:58:34;136.0;1659329916;97.529;97.498;95.032;96.307;
14:58:35;137.0;1659329917;97.512;97.498;95.031;96.255;
14:58:37;139.0;1659329918;97.515;97.462;94.99;96.244;
14:58:38;140.0;1659329919;97.478;97.456;94.959;96.194;
14:58:39;141.0;1659329920;97.481;97.456;94.882;96.197;
14:58:40;142.0;1659329921;97.455;97.465;94.858;96.162;
14:58:41;143.0;1659329922;97.441;97.444;94.768;96.154;
14:58:42;144.0;1659329923;97.332;97.405;94.831;96.052;
14:58:43;145.0;1659329925;97.335;97.387;94.779;96.062;
14:58:45;147.0;1659329926;97.313;97.385;94.793;96.004;
14:58:46;148.0;1659329927;97.331;97.364;94.715;96.025;
14:58:47;149.0;1659329928;97.271;97.307;94.655;95.999;
14:58:48;150.0;1659329929;97.234;97.238;94.625;96.006;
14:58:49;151.0;1659329930;97.238;97.165;94.586;96.013;
14:58:50;152.0;1659329932;97.187;97.154;94.618;95.975;
14:58:51;153.0;1659329933;97.162;97.142;94.609;95.944;
14:58:53;155.0;1659329934;97.096;97.152;94.559;95.904;
14:58:54;156.0;1659329935;97.117;97.149;94.526;95.867;
14:58:55;157.0;1659329936;97.071;97.122;94.498;95.812;
14:58:56;158.0;1659329937;97.065;97.083;94.484;95.815;
14:58:57;159.0;1659329938;97.043;97.051;94.468;95.804;
14:58:58;160.0;1659329940;97.052;97.042;94.431;95.79;
14:58:59;161.0;1659329941;96.995;97.046;94.411;95.752;
14:59:01;163.0;1659329942;96.932;97.028;94.312;95.782;
14:59:02;164.0;1659329943;96.929;97.016;94.265;95.789;
14:59:03;165.0;1659329944;96.916;96.969;94.209;95.76;
14:59:04;166.0;1659329945;96.922;96.942;94.27;95.71;
14:59:05;167.0;1659329946;96.853;96.903;94.25;95.667;
14:59:06;168.0;1659329947;96.848;96.892;94.246;95.647;
14:59:07;169.0;1659329948;96.828;96.856;94.165;95.618;
14:59:08;170.0;1659329950;96.835;96.856;94.148;95.631;
14:59:10;172.0;1659329951;96.789;96.814;94.089;95.611;
14:59:11;173.0;1659329952;96.75;96.791;94.082;95.621;
14:59:12;174.0;1659329953;96.708;96.728;94.086;95.589;
14:59:13;175.0;1659329954;96.734;96.737;94.13;95.599;
14:59:14;176.0;1659329956;96.751;96.704;94.111;95.576;
14:59:15;177.0;1659329957;96.717;96.728;94.044;95.548;
14:59:17;179.0;1659329958;96.657;96.711;93.948;95.542;
14:59:18;180.0;1659329959;96.601;96.712;93.884;95.525;
14:59:19;181.0;1659329960;96.61;96.679;93.838;95.502;
14:59:20;182.0;1659329961;96.591;96.661;93.916;95.448;
14:59:21;183.0;1659329962;96.543;96.67;93.907;95.42;
14:59:22;184.0;1659329964;96.512;96.667;93.957;95.36;
14:59:23;185.0;1659329965;96.501;96.649;93.814;95.308;
14:59:25;187.0;1659329966;96.499;96.613;93.77;95.303;
14:59:26;188.0;1659329967;96.477;96.572;93.684;95.364;
14:59:27;189.0;1659329968;96.449;96.572;93.775;95.376;
14:59:28;190.0;1659329969;96.406;96.546;93.792;95.309;
14:59:29;191.0;1659329970;96.386;96.531;93.711;95.299;
14:59:30;192.0;1659329971;96.345;96.522;93.605;95.293;
14:59:31;193.0;1659329973;96.357;96.52;93.563;95.297;
14:59:32;194.0;1659329974;96.332;96.505;93.599;95.245;
14:59:34;196.0;1659329975;96.321;96.467;93.565;95.257;
14:59:35;197.0;1659329976;96.327;96.446;93.567;95.211;
14:59:36;198.0;1659329977;96.324;96.402;93.492;95.197;
14:59:37;199.0;1659329978;96.342;96.378;93.443;95.154;
14:59:38;200.0;1659329979;96.308;96.355;93.358;95.14;
14:59:39;201.0;1659329981;96.257;96.364;93.399;95.095;
14:59:40;202.0;1659329982;96.192;96.307;93.392;95.073;
14:59:42;204.0;1659329983;96.155;96.263;93.347;95.064;
14:59:43;205.0;1659329984;96.144;96.209;93.319;95.105;
14:59:44;206.0;1659329985;96.139;96.219;93.281;95.146;
14:59:45;207.0;1659329986;96.111;96.174;93.281;95.147;
14:59:46;208.0;1659329987;96.092;96.166;93.258;95.067;
14:59:47;209.0;1659329989;96.066;96.127;93.221;94.981;
14:59:48;210.0;1659329990;96.07;96.143;93.183;94.941;
14:59:49;211.0;1659329991;96.079;96.077;93.131;94.959;
14:59:51;213.0;1659329992;96.085;96.042;93.192;94.951;
14:59:52;214.0;1659329993;96.077;96.021;93.224;94.94;
14:59:53;215.0;1659329994;96.047;96.037;93.168;94.915;
14:59:54;216.0;1659329995;96.007;96.017;93.09;94.898;
14:59:55;217.0;1659329996;95.962;95.96;93.031;94.873;
14:59:56;218.0;1659329998;95.911;95.942;93.033;94.852;
14:59:57;219.0;1659329999;95.886;95.952;93.006;94.769;
14:59:59;221.0;1659330000;95.85;95.955;92.976;94.744;
15:00:00;222.0;1659330001;95.856;95.917;92.948;94.696;
15:00:01;223.0;1659330002;95.831;95.882;92.919;94.697;
15:00:02;224.0;1659330003;95.829;95.879;92.845;94.669;
15:00:03;225.0;1659330004;95.795;95.921;92.816;94.659;
15:00:04;226.0;1659330006;95.765;95.894;92.792;94.651;
15:00:05;227.0;1659330007;95.757;95.871;92.843;94.606;
15:00:07;229.0;1659330008;95.754;95.794;92.757;94.564;
15:00:08;230.0;1659330009;95.772;95.788;92.763;94.536;
15:00:09;231.0;1659330010;95.738;95.768;92.685;94.522;
15:00:10;232.0;1659330011;95.722;95.751;92.713;94.531;
15:00:11;233.0;1659330012;95.668;95.715;92.681;94.509;
15:00:12;234.0;1659330014;95.657;95.665;92.681;94.49;
15:00:13;235.0;1659330015;95.632;95.644;92.645;94.439;
15:00:15;237.0;1659330016;95.655;95.657;92.594;94.403;
15:00:16;238.0;1659330017;95.63;95.658;92.58;94.412;
