Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
14:27:56;-1.0;1659328077;99.442;99.549;98.305;98.89;
14:27:57;0.0;1659328078;99.436;99.561;98.28;98.866;
14:27:58;1.0;1659328080;99.448;99.571;98.245;98.855;
14:27:59;2.0;1659328081;99.404;99.58;98.218;98.852;
14:28:01;4.0;1659328082;99.413;99.596;98.218;98.859;
14:28:02;5.0;1659328083;99.398;99.575;98.237;98.817;
14:28:03;6.0;1659328084;99.425;99.538;98.268;98.824;
14:28:04;7.0;1659328085;99.401;99.492;98.257;98.786;
14:28:05;8.0;1659328086;99.398;99.411;98.214;98.774;
14:28:06;9.0;1659328087;99.419;99.393;98.179;98.697;
14:28:07;10.0;1659328089;99.44;99.378;98.175;98.671;
14:28:09;12.0;1659328090;99.445;99.391;98.163;98.657;
14:28:10;13.0;1659328091;99.437;99.397;98.171;98.645;
14:28:11;14.0;1659328092;99.446;99.354;98.144;98.596;
14:28:12;15.0;1659328093;99.474;99.308;98.103;98.521;
14:28:13;16.0;1659328094;99.457;99.243;98.069;98.55;
14:28:14;17.0;1659328096;99.45;99.244;98.055;98.563;
14:28:15;18.0;1659328097;99.388;99.278;98.033;98.594;
14:28:17;20.0;1659328098;99.394;99.275;97.95;98.539;
14:28:18;21.0;1659328099;99.374;99.245;97.912;98.503;
14:28:19;22.0;1659328100;99.374;99.193;97.937;98.449;
14:28:20;23.0;1659328101;99.365;99.174;97.961;98.426;
14:28:21;24.0;1659328102;99.315;99.128;97.957;98.39;
14:28:22;25.0;1659328104;99.331;99.125;97.838;98.355;
14:28:23;26.0;1659328105;99.308;99.097;97.765;98.316;
14:28:24;27.0;1659328106;99.338;99.128;97.7;98.314;
14:28:26;29.0;1659328107;99.25;99.11;97.695;98.294;
14:28:27;30.0;1659328108;99.2;99.117;97.663;98.256;
14:28:28;31.0;1659328109;99.151;99.102;97.58;98.179;
14:28:29;32.0;1659328110;99.169;99.087;97.588;98.154;
14:28:30;33.0;1659328111;99.172;99.099;97.615;98.122;
14:28:31;34.0;1659328113;99.172;99.072;97.601;98.132;
14:28:32;35.0;1659328114;99.172;99.072;97.59;98.152;
14:28:34;37.0;1659328115;99.175;99.044;97.514;98.113;
14:28:35;38.0;1659328116;99.166;99.035;97.497;98.144;
14:28:36;39.0;1659328117;99.182;99.069;97.44;98.085;
14:28:37;40.0;1659328118;99.149;99.051;97.404;98.067;
14:28:38;41.0;1659328119;99.129;99.033;97.446;97.959;
14:28:39;42.0;1659328120;99.114;98.975;97.404;97.953;
14:28:40;43.0;1659328122;99.094;98.95;97.423;97.954;
14:28:41;44.0;1659328123;99.074;98.932;97.294;97.969;
14:28:43;46.0;1659328124;99.036;98.935;97.237;97.937;
14:28:44;47.0;1659328125;99.039;98.938;97.197;97.895;
14:28:45;48.0;1659328126;99.04;98.923;97.246;97.816;
14:28:46;49.0;1659328127;99.049;98.889;97.252;97.78;
