Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
14:06:41;-1.0;1659326802;99.478;99.184;98.301;98.799;
14:06:42;0.0;1659326803;99.478;99.178;98.324;98.823;
14:06:43;1.0;1659326804;99.478;99.172;98.325;98.829;
14:06:44;2.0;1659326805;99.46;99.153;98.332;98.86;
14:06:45;3.0;1659326807;99.458;99.166;98.317;98.82;
14:06:46;4.0;1659326808;99.449;99.163;98.307;98.766;
14:06:48;6.0;1659326809;99.458;99.16;98.289;98.748;
14:06:49;7.0;1659326810;99.464;99.119;98.267;98.716;
14:06:50;8.0;1659326811;99.444;99.135;98.245;98.714;
14:06:51;9.0;1659326812;99.42;99.138;98.225;98.716;
14:06:52;10.0;1659326813;99.361;99.157;98.232;98.717;
14:06:53;11.0;1659326815;99.386;99.092;98.198;98.73;
14:06:54;12.0;1659326816;99.377;99.065;98.21;98.707;
14:06:56;14.0;1659326817;99.348;99.065;98.194;98.638;
14:06:57;15.0;1659326818;99.287;99.087;98.152;98.514;
14:06:58;16.0;1659326819;99.246;99.066;98.109;98.449;
14:06:59;17.0;1659326820;99.244;99.045;98.077;98.453;
14:07:00;18.0;1659326821;99.247;99.045;98.018;98.47;
14:07:01;19.0;1659326823;99.221;99.009;97.944;98.461;
14:07:02;20.0;1659326824;99.225;98.978;97.908;98.419;
14:07:04;22.0;1659326825;99.231;98.938;97.917;98.405;
14:07:05;23.0;1659326826;99.252;98.957;97.884;98.366;
14:07:06;24.0;1659326827;99.199;98.945;97.86;98.369;
14:07:07;25.0;1659326828;99.155;98.927;97.814;98.36;
14:07:08;26.0;1659326829;99.156;98.927;97.807;98.37;
14:07:09;27.0;1659326831;99.228;98.903;97.752;98.365;
14:07:10;28.0;1659326832;99.214;98.906;97.744;98.311;
14:07:12;30.0;1659326833;99.17;98.839;97.72;98.299;
14:07:13;31.0;1659326834;99.147;98.82;97.686;98.236;
14:07:14;32.0;1659326835;99.132;98.762;97.644;98.24;
14:07:15;33.0;1659326836;99.148;98.772;97.569;98.196;
14:07:16;34.0;1659326838;99.118;98.757;97.543;98.195;
14:07:17;35.0;1659326839;99.124;98.754;97.477;98.142;
14:07:19;37.0;1659326840;99.109;98.751;97.422;98.108;
14:07:20;38.0;1659326841;99.074;98.739;97.358;98.025;
14:07:21;39.0;1659326842;99.056;98.703;97.348;97.963;
14:07:22;40.0;1659326843;99.039;98.663;97.342;97.946;
14:07:23;41.0;1659326844;99.024;98.648;97.386;97.969;
14:07:24;42.0;1659326845;98.995;98.652;97.368;97.961;
14:07:25;43.0;1659326847;98.966;98.661;97.336;97.91;
14:07:26;44.0;1659326848;98.987;98.643;97.258;97.856;
14:07:28;46.0;1659326849;98.97;98.637;97.228;97.869;
14:07:29;47.0;1659326850;98.93;98.594;97.215;97.795;
14:07:30;48.0;1659326851;98.904;98.582;97.166;97.785;
14:07:31;49.0;1659326852;98.908;98.545;97.133;97.729;
14:07:32;50.0;1659326853;98.914;98.533;97.026;97.727;
14:07:33;51.0;1659326854;98.881;98.515;96.976;97.676;
14:07:34;52.0;1659326856;98.879;98.521;96.867;97.638;
