Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
11:44:59;-2.0;1659318301;99.445;98.965;98.309;99.206;
11:45:00;-1.0;1659318302;99.486;98.947;98.286;99.273;
11:45:02;1.0;1659318303;99.444;98.95;98.314;99.282;
11:45:03;2.0;1659318304;99.423;98.928;98.336;99.213;
11:45:04;3.0;1659318305;99.379;98.901;98.267;99.198;
11:45:05;4.0;1659318306;99.418;98.886;98.252;99.172;
11:45:06;5.0;1659318307;99.4;98.896;98.219;99.182;
11:45:07;6.0;1659318309;99.421;98.88;98.257;99.131;
11:45:08;7.0;1659318310;99.382;98.878;98.201;99.09;
11:45:10;9.0;1659318311;99.377;98.838;98.183;99.06;
11:45:11;10.0;1659318312;99.341;98.847;98.13;99.052;
11:45:12;11.0;1659318313;99.345;98.854;98.156;99.035;
11:45:13;12.0;1659318314;99.356;98.842;98.12;98.996;
11:45:14;13.0;1659318315;99.348;98.8;98.126;98.924;
11:45:15;14.0;1659318317;99.322;98.732;98.073;98.867;
11:45:16;15.0;1659318318;99.302;98.689;98.074;98.808;
11:45:17;16.0;1659318319;99.288;98.68;98.008;98.834;
11:45:19;18.0;1659318320;99.279;98.684;97.982;98.808;
11:45:20;19.0;1659318321;99.27;98.676;97.898;98.788;
11:45:21;20.0;1659318322;99.276;98.636;97.877;98.716;
11:45:22;21.0;1659318323;99.259;98.603;97.84;98.684;
11:45:23;22.0;1659318325;99.221;98.545;97.79;98.666;
11:45:24;23.0;1659318326;99.189;98.499;97.705;98.651;
11:45:26;25.0;1659318327;99.228;98.448;97.658;98.628;
11:45:27;26.0;1659318328;99.22;98.427;97.633;98.563;
11:45:28;27.0;1659318329;99.215;98.415;97.63;98.486;
11:45:29;28.0;1659318330;99.156;98.394;97.588;98.445;
11:45:30;29.0;1659318331;99.112;98.373;97.53;98.398;
11:45:31;30.0;1659318333;99.089;98.303;97.453;98.363;
11:45:32;31.0;1659318334;99.063;98.279;97.401;98.31;
11:45:34;33.0;1659318335;99.066;98.221;97.336;98.281;
11:45:35;34.0;1659318336;99.064;98.228;97.307;98.309;
11:45:36;35.0;1659318337;99.065;98.195;97.228;98.292;
11:45:37;36.0;1659318338;99.039;98.153;97.157;98.296;
11:45:38;37.0;1659318339;99.036;98.083;97.118;98.275;
11:45:39;38.0;1659318340;98.987;98.047;97.103;98.264;
11:45:40;39.0;1659318342;98.961;98.047;97.119;98.211;
11:45:41;40.0;1659318343;98.87;98.035;97.057;98.119;
11:45:43;42.0;1659318344;98.856;98.003;97.025;98.101;
11:45:44;43.0;1659318345;98.833;97.964;96.969;98.112;
11:45:45;44.0;1659318346;98.833;97.931;96.871;98.071;
11:45:46;45.0;1659318347;98.837;97.888;96.779;98.012;
11:45:47;46.0;1659318348;98.82;97.849;96.702;97.949;
11:45:48;47.0;1659318349;98.823;97.813;96.703;97.904;
11:45:49;48.0;1659318351;98.753;97.798;96.692;97.881;
11:45:51;50.0;1659318352;98.754;97.796;96.651;97.876;
11:45:52;51.0;1659318353;98.742;97.766;96.604;97.893;
11:45:53;52.0;1659318354;98.749;97.725;96.501;97.868;
11:45:54;53.0;1659318355;98.737;97.662;96.42;97.827;
11:45:55;54.0;1659318356;98.729;97.641;96.326;97.814;
11:45:56;55.0;1659318358;98.686;97.63;96.298;97.736;
11:45:57;56.0;1659318359;98.636;97.609;96.283;97.66;
11:45:59;58.0;1659318360;98.605;97.573;96.248;97.622;
11:46:00;59.0;1659318361;98.605;97.533;96.238;97.596;
11:46:01;60.0;1659318362;98.6;97.461;96.197;97.594;
11:46:02;61.0;1659318363;98.61;97.42;96.193;97.571;
11:46:03;62.0;1659318364;98.602;97.366;96.113;97.548;
11:46:04;63.0;1659318366;98.574;97.372;96.018;97.483;
11:46:06;65.0;1659318367;98.498;97.321;95.964;97.443;
11:46:07;66.0;1659318368;98.461;97.304;95.918;97.391;
11:46:08;67.0;1659318369;98.441;97.256;95.993;97.385;
11:46:09;68.0;1659318370;98.403;97.232;95.987;97.347;
11:46:10;69.0;1659318372;98.36;97.172;95.999;97.316;
11:46:11;70.0;1659318373;98.332;97.133;95.888;97.272;
11:46:12;71.0;1659318374;98.333;97.109;95.822;97.258;
11:46:14;73.0;1659318375;98.304;97.083;95.726;97.25;
11:46:15;74.0;1659318376;98.292;97.053;95.684;97.257;
