Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
14:35:01;-1.0;1659328502;99.436;99.317;98.416;98.769;
14:35:02;0.0;1659328503;99.436;99.311;98.381;98.799;
14:35:03;1.0;1659328505;99.415;99.349;98.347;98.802;
14:35:04;2.0;1659328506;99.415;99.359;98.289;98.814;
14:35:05;3.0;1659328507;99.433;99.306;98.378;98.769;
14:35:07;5.0;1659328508;99.46;99.254;98.38;98.755;
14:35:08;6.0;1659328509;99.487;99.21;98.387;98.765;
14:35:09;7.0;1659328510;99.478;99.229;98.3;98.738;
14:35:10;8.0;1659328511;99.478;99.229;98.263;98.736;
14:35:11;9.0;1659328512;99.404;99.248;98.243;98.721;
14:35:12;10.0;1659328514;99.396;99.205;98.204;98.704;
14:35:13;11.0;1659328515;99.349;99.192;98.161;98.615;
14:35:15;13.0;1659328516;99.361;99.168;98.163;98.549;
14:35:16;14.0;1659328517;99.357;99.187;98.149;98.523;
14:35:17;15.0;1659328518;99.393;99.221;98.171;98.557;
14:35:18;16.0;1659328519;99.415;99.228;98.134;98.552;
14:35:19;17.0;1659328520;99.404;99.178;98.079;98.519;
14:35:20;18.0;1659328522;99.365;99.141;98.026;98.474;
14:35:21;19.0;1659328523;99.336;99.092;98.055;98.464;
14:35:23;21.0;1659328524;99.337;99.123;98.086;98.504;
14:35:24;22.0;1659328525;99.361;99.073;98.018;98.508;
14:35:25;23.0;1659328526;99.362;99.101;97.949;98.463;
14:35:26;24.0;1659328527;99.325;99.104;97.918;98.398;
14:35:27;25.0;1659328529;99.313;99.126;97.948;98.332;
14:35:28;26.0;1659328530;99.295;99.086;97.829;98.345;
14:35:29;27.0;1659328531;99.346;99.059;97.725;98.277;
14:35:31;29.0;1659328532;99.32;99.05;97.624;98.251;
14:35:32;30.0;1659328533;99.324;99.041;97.654;98.204;
14:35:33;31.0;1659328534;99.294;99.029;97.649;98.199;
14:35:34;32.0;1659328535;99.265;99.017;97.688;98.221;
14:35:35;33.0;1659328536;99.266;98.983;97.707;98.152;
14:35:36;34.0;1659328538;99.219;98.977;97.728;98.165;
14:35:37;35.0;1659328539;99.223;98.953;97.676;98.088;
14:35:39;37.0;1659328540;99.214;98.969;97.6;98.113;
14:35:40;38.0;1659328541;99.232;98.963;97.523;98.075;
14:35:41;39.0;1659328542;99.209;98.932;97.438;98.091;
14:35:42;40.0;1659328543;99.19;98.902;97.347;98.029;
14:35:43;41.0;1659328544;99.16;98.862;97.259;97.965;
14:35:44;42.0;1659328546;99.193;98.869;97.267;97.915;
14:35:46;44.0;1659328547;99.176;98.857;97.323;97.93;
14:35:47;45.0;1659328548;99.177;98.817;97.321;97.916;
14:35:48;46.0;1659328549;99.115;98.805;97.275;97.883;
14:35:49;47.0;1659328550;99.071;98.784;97.239;97.83;
14:35:50;48.0;1659328551;99.036;98.778;97.231;97.813;
14:35:51;49.0;1659328553;99.028;98.754;97.2;97.85;
14:35:52;50.0;1659328554;99.014;98.748;97.159;97.881;
14:35:53;51.0;1659328555;99.02;98.736;97.098;97.891;
14:35:55;53.0;1659328556;99.038;98.718;97.058;97.853;
14:35:56;54.0;1659328557;99.061;98.678;97.042;97.811;
14:35:57;55.0;1659328558;99.07;98.66;97.042;97.776;
14:35:58;56.0;1659328559;99.062;98.636;97.037;97.678;
14:35:59;57.0;1659328560;99.046;98.609;97.01;97.633;
14:36:00;58.0;1659328562;98.996;98.584;96.959;97.633;
14:36:01;59.0;1659328563;98.979;98.585;96.948;97.7;
14:36:03;61.0;1659328564;98.955;98.604;96.867;97.737;
14:36:04;62.0;1659328565;98.935;98.604;96.851;97.678;
14:36:05;63.0;1659328566;98.892;98.574;96.815;97.618;
14:36:06;64.0;1659328567;98.878;98.501;96.775;97.533;
14:36:07;65.0;1659328568;98.854;98.476;96.756;97.552;
14:36:08;66.0;1659328569;98.816;98.427;96.724;97.568;
14:36:09;67.0;1659328571;98.793;98.422;96.662;97.536;
14:36:11;69.0;1659328572;98.777;98.358;96.611;97.516;
14:36:12;70.0;1659328573;98.822;98.346;96.591;97.454;
14:36:13;71.0;1659328574;98.81;98.313;96.631;97.467;
14:36:14;72.0;1659328575;98.837;98.301;96.621;97.393;
14:36:15;73.0;1659328576;98.811;98.271;96.574;97.395;
14:36:16;74.0;1659328577;98.777;98.257;96.499;97.342;
14:36:17;75.0;1659328579;98.732;98.233;96.428;97.373;
14:36:18;76.0;1659328580;98.676;98.218;96.39;97.315;
14:36:20;78.0;1659328581;98.703;98.169;96.407;97.332;
14:36:21;79.0;1659328582;98.683;98.139;96.407;97.273;
14:36:22;80.0;1659328583;98.686;98.087;96.343;97.277;
14:36:23;81.0;1659328584;98.625;98.112;96.213;97.239;
14:36:24;82.0;1659328585;98.593;98.143;96.148;97.195;
14:36:25;83.0;1659328587;98.576;98.153;96.083;97.169;
14:36:26;84.0;1659328588;98.563;98.101;96.1;97.149;
14:36:28;86.0;1659328589;98.561;98.059;96.077;97.144;
14:36:29;87.0;1659328590;98.55;98.062;96.13;97.094;
14:36:30;88.0;1659328591;98.567;98.059;96.08;97.02;
14:36:31;89.0;1659328592;98.55;98.035;96.073;97.018;
14:36:32;90.0;1659328593;98.481;98.011;96.054;97.007;
14:36:33;91.0;1659328594;98.399;98.005;96.034;97.025;
14:36:34;92.0;1659328596;98.359;97.999;95.999;96.999;
14:36:36;94.0;1659328597;98.354;97.969;95.884;97.011;
14:36:37;95.0;1659328598;98.385;97.953;95.887;96.988;
14:36:38;96.0;1659328599;98.338;97.948;95.881;96.977;
14:36:39;97.0;1659328600;98.353;97.93;95.897;96.963;
14:36:40;98.0;1659328601;98.295;97.909;95.868;96.945;
14:36:41;99.0;1659328602;98.313;97.903;95.812;96.927;
14:36:42;100.0;1659328604;98.235;97.899;95.779;96.883;
14:36:44;102.0;1659328605;98.225;97.896;95.733;96.855;
14:36:45;103.0;1659328606;98.17;97.875;95.719;96.859;
14:36:46;104.0;1659328607;98.191;97.873;95.69;96.887;
14:36:47;105.0;1659328608;98.141;97.864;95.64;96.87;
14:36:48;106.0;1659328609;98.139;97.852;95.673;96.835;
14:36:49;107.0;1659328611;98.096;97.84;95.616;96.774;
14:36:50;108.0;1659328612;98.097;97.825;95.565;96.763;
14:36:52;110.0;1659328613;98.094;97.801;95.447;96.673;
14:36:53;111.0;1659328614;98.069;97.768;95.437;96.63;
14:36:54;112.0;1659328615;98.037;97.753;95.457;96.595;
14:36:55;113.0;1659328616;97.994;97.736;95.44;96.602;
14:36:56;114.0;1659328617;97.954;97.724;95.392;96.594;
14:36:57;115.0;1659328618;97.891;97.706;95.398;96.595;
14:36:58;116.0;1659328620;97.846;97.691;95.366;96.566;
14:37:00;118.0;1659328621;97.806;97.664;95.383;96.49;
