AQUARESP VERSION 3  - Data file  -  it's Aquatic Respiration!!  KISS (Keep It Simple!!)
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1659316173
Flush time ,s: 180
Wait time, s: 5
Measurement time, s: 240
Mass of fish, kg: .03792
Volume respirometer, L: 1.5
Real volume (vresp - vfish) (neutrally bouyant), L: 1.46208
Salinity: 35
Temperature: 30.0
Oxygen solubilty, mg O2 / L: 6.16686676353

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2;SLOPE;Intercept;Pearson R;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;
2022-08-01 11:37:56;0.0683333333333;1659318116;251.230666983;-0.0293496399163;99.1403497558;-0.999852728551;0.999705478792;0.0;3.51842337598e-05;240;95.6356908213;95.608;92.117;99.022;6.905;6.16686676353;38.5569620253;0.0683333333333;4.1;246;0.00284722222222;
2022-08-01 11:45:01;0.186388888889;1659318541;243.552933936;-0.0284527004503;99.1543465467;-0.999765327174;0.999530709419;0.0;4.30595422893e-05;240;95.7753478261;95.788;92.354;98.95;6.596;6.16686676353;38.5569620253;0.186388888889;11.1833333333;671;0.0077662037037;
2022-08-01 11:52:06;0.304444444444;1659318966;229.757529727;-0.0268410733711;99.2614043502;-0.998558679845;0.997119437094;6.30896243469e-265;0.0001002720277;240;96.0561435407;96.173;92.724;99.018;6.294;6.16686676353;38.5569620253;0.304444444444;18.2666666667;1096;0.0126851851852;
2022-08-01 11:59:11;0.4225;1659319391;259.020117131;-0.0302596305625;99.2249098052;-0.999632001674;0.999264138771;0.0;5.70737302641e-05;240;95.5995454545;95.521;92.123;99.084;6.961;6.16686676353;38.5569620253;0.4225;25.35;1521;0.0176041666667;
2022-08-01 12:06:16;0.540555555556;1659319816;237.107351188;-0.0276997050657;99.3399700764;-0.999557726641;0.999115648889;1.76610464636e-316;5.74177297771e-05;240;96.0329182692;96.057;92.737;99.087;6.35;6.16686676353;38.5569620253;0.540555555556;32.4333333333;1946;0.0225231481481;
2022-08-01 12:13:21;0.658611111111;1659320241;226.329188545;-0.0264405626356;99.4154365712;-0.999636732127;0.999273596218;0.0;4.9668829378e-05;240;96.2508317308;96.2225;93.149;99.192;6.043;6.16686676353;38.5569620253;0.658611111111;39.5166666667;2371;0.0274421296296;
2022-08-01 12:20:26;0.776666666667;1659320666;239.513542719;-0.0279808047254;99.3383549529;-0.999598468278;0.999197097783;8.41887860513e-321;5.52627301941e-05;240;95.9732596154;95.9905;92.671;99.02;6.349;6.16686676353;38.5569620253;0.776666666667;46.6;2796;0.0323611111111;
2022-08-01 12:27:31;0.895;1659321091;219.044291539;-0.0255895156415;99.0923470668;-0.999332921146;0.998666287287;1.54051000338e-299;6.49976782519e-05;241;96.0202583732;95.955;93.021;98.956;5.935;6.16686676353;38.5569620253;0.895;53.7;3222;0.0372916666667;
2022-08-01 12:34:36;1.01277777778;1659321516;205.151796259;-0.0239665460459;99.3617960955;-0.999289320244;0.998579145553;2.86677116442e-295;6.29876476108e-05;240;96.4844278846;96.4375;93.736;99.219;5.483;6.16686676353;38.5569620253;1.01277777778;60.7666666667;3646;0.0421990740741;
2022-08-01 12:41:41;1.13111111111;1659321941;214.67075493;-0.0250785838903;99.3943944874;-0.999589827125;0.999179822491;2.15412621587e-321;4.99401608878e-05;241;96.3886842105;96.346;93.315;99.166;5.851;6.16686676353;38.5569620253;1.13111111111;67.8666666667;4072;0.0471296296296;
