AQUARESP VERSION 3  - Data file  -  it's Aquatic Respiration!!  KISS (Keep It Simple!!)
--------------------------------------------------------------------------------------------------------------------------------
Experiment start, UNIX time: 1659316173
Flush time ,s: 180
Wait time, s: 5
Measurement time, s: 240
Mass of fish, kg: .04005
Volume respirometer, L: 1.5
Real volume (vresp - vfish) (neutrally bouyant), L: 1.45995
Salinity: 35
Temperature: 30.0
Oxygen solubilty, mg O2 / L: 6.16686676353

 Timestamp is beginning of measurement period 
-.-.-.-.-.-.-.-.------------------------------------------------------
Clock TIME;TIME HOURS;TIME UNIX;MO2;SLOPE;Intercept;Pearson R;R^2;P;Std Err; Measurement duration seconds;avg po2;median po2; minimum po2; max po2;delta po2;oxygen solubility;ratio vreal fish;total experiment duration hours;minutes;seconds;days;
2022-08-01 13:31:17;1.9575;1659324917;252.254542264;-0.0311699759291;98.4792183262;-0.9991764275;0.998353533271;4.53958392182e-290;8.79803315198e-05;240;94.7628325359;94.844;91.134;98.307;7.173;6.16686676353;36.4531835206;1.9575;117.45;7047;0.0815625;
2022-08-01 13:38:22;2.07555555556;1659325342;251.014043491;-0.0310166929929;98.4577880079;-0.999397741365;0.998795845445;3.92916795541e-304;7.48536653721e-05;240;94.7354880383;94.874;90.957;98.24;7.283;6.16686676353;36.4531835206;2.07555555556;124.533333333;7472;0.0864814814815;
2022-08-01 13:45:27;2.19361111111;1659325767;242.348888257;-0.0299459781601;98.4921974541;-0.999573974772;0.999148131042;1.08941474908e-319;6.07749747335e-05;240;94.8963875598;94.961;91.333;98.337;7.004;6.16686676353;36.4531835206;2.19361111111;131.616666667;7897;0.091400462963;
2022-08-01 13:52:32;2.31166666667;1659326192;238.148139546;-0.0294269102573;98.5312341035;-0.999546430561;0.999093066847;2.13998605708e-318;6.14748763137e-05;240;95.0019666667;95.085;91.437;98.355;6.918;6.16686676353;36.4531835206;2.31166666667;138.7;8322;0.0963194444444;
2022-08-01 13:59:37;2.42972222222;1659326617;232.000519349;-0.0286672760726;98.5252927258;-0.99935807446;0.998716560988;2.88764308505e-301;7.14278780263e-05;240;95.1086746411;95.149;91.715;98.35;6.635;6.16686676353;36.4531835206;2.42972222222;145.783333333;8747;0.101238425926;
2022-08-01 14:06:42;2.54805555556;1659327042;236.503689319;-0.0292237128302;98.5036764274;-0.999585590881;0.999171353498;6.23510845052e-321;5.84944797219e-05;240;95.0082966507;95.03;91.541;98.332;6.791;6.16686676353;36.4531835206;2.54805555556;152.883333333;9173;0.106168981481;
2022-08-01 14:13:47;2.66611111111;1659327467;229.330584182;-0.0283373640158;98.5278212013;-0.99932042597;0.99864131376;3.86432136413e-300;7.24740624133e-05;240;95.1313857143;95.2315;91.613;98.287;6.674;6.16686676353;36.4531835206;2.66611111111;159.966666667;9598;0.111087962963;
2022-08-01 14:20:52;2.78416666667;1659327892;226.468304209;-0.0279836847636;98.4403461603;-0.999131112168;0.998262979303;1.15776677789e-287;8.11334121283e-05;240;95.0948899522;94.988;91.862;98.402;6.54;6.16686676353;36.4531835206;2.78416666667;167.05;10023;0.116006944444;
2022-08-01 14:27:57;2.90222222222;1659328317;217.395674418;-0.0268626201054;98.4268844693;-0.998920955749;0.997843075834;6.2489127513e-278;8.68059534638e-05;240;95.2121100478;95.139;92.212;98.268;6.056;6.16686676353;36.4531835206;2.90222222222;174.133333333;10448;0.120925925926;
2022-08-01 14:35:02;3.02027777778;1659328742;215.145931867;-0.0265846293881;98.4612757304;-0.999038699453;0.998078323005;4.02498751654e-283;8.1078054926e-05;240;95.2754449761;95.256;92.21;98.387;6.177;6.16686676353;36.4531835206;3.02027777778;181.216666667;10873;0.125844907407;
2022-08-01 14:42:08;3.13833333333;1659329167;208.199216713;-0.0257262545806;98.4441460865;-0.99938443171;0.998769242343;3.77184447141e-303;6.27689817664e-05;240;95.3651196172;95.349;92.468;98.329;5.861;6.16686676353;36.4531835206;3.13833333333;188.3;11298;0.130763888889;
2022-08-01 14:49:13;3.25638888889;1659329593;208.024327632;-0.0257046443119;98.4900016651;-0.999209126117;0.998418877715;6.8658734206e-292;7.10972436398e-05;240;95.4274593301;95.373;92.536;98.518;5.982;6.16686676353;36.4531835206;3.25638888889;195.383333333;11723;0.13568287037;
2022-08-01 14:56:18;3.37444444444;1659330018;204.931546517;-0.0253224830552;98.5123470342;-0.999320137757;0.998640737726;2.98543790572e-297;6.5090809329e-05;240;95.4811971154;95.519;92.58;98.367;5.787;6.16686676353;36.4531835206;3.37444444444;202.466666667;12148;0.140601851852;
2022-08-01 15:03:23;3.4925;1659330443;201.488680524;-0.0248970633614;98.4816225514;-0.999376308932;0.998753006855;1.46429835672e-302;6.11457019383e-05;240;95.5087464115;95.387;92.612;98.377;5.765;6.16686676353;36.4531835206;3.4925;209.55;12573;0.145520833333;
2022-08-01 15:10:28;3.61055555556;1659330868;204.233459816;-0.0252362235751;98.5587683904;-0.999269174868;0.998538883842;5.09709150772e-294;6.72590358106e-05;240;95.5408557692;95.522;92.726;98.506;5.78;6.16686676353;36.4531835206;3.61055555556;216.633333333;12998;0.150439814815;
2022-08-01 15:17:33;3.72861111111;1659331293;195.498522246;-0.0241568860481;98.5289556844;-0.998945065892;0.99789124467;6.03386226371e-279;7.71839976383e-05;240;95.6463110048;95.705;92.916;98.549;5.633;6.16686676353;36.4531835206;3.72861111111;223.716666667;13423;0.155358796296;
2022-08-01 15:24:38;3.84666666667;1659331718;200.291416053;-0.0247491226962;98.6630480351;-0.999429148072;0.998858622015;1.54038178535e-306;5.81483465986e-05;240;95.6988373206;95.705;92.812;98.615;5.803;6.16686676353;36.4531835206;3.84666666667;230.8;13848;0.160277777778;
